               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11925,            0.056574,            0.063667,             0.01292,            0.059185,           0.0059316,           0.0013083,             0.10392,            0.080363,            0.056776,           0.0015543,           0.0015543,            0.027269
                   1,            0.085463,            0.061631,            0.050117,             0.26729,             0.22303,             0.05201,            0.011762,            0.079478,            0.092394,            0.044696,           0.0031543,           0.0031543,           0.0038686
                   2,            0.070988,            0.062569,            0.043531,             0.30911,             0.31365,              0.1267,            0.032243,            0.069242,            0.064645,            0.038944,           0.0031999,           0.0031999,           0.0031999
                   3,            0.062613,            0.061598,             0.03951,             0.47443,             0.30155,             0.18375,             0.05352,            0.064898,            0.067423,             0.03644,           0.0031995,           0.0031995,           0.0031995
                   4,            0.059155,            0.061356,            0.036776,             0.40533,             0.35648,             0.21878,            0.078334,            0.059037,            0.060031,            0.032484,           0.0031989,           0.0031989,           0.0031989
                   5,            0.057155,             0.06128,            0.034123,             0.61416,              0.3534,              0.3183,             0.12506,            0.054616,            0.059596,            0.030355,           0.0031981,           0.0031981,           0.0031981
                   6,            0.056279,            0.061463,            0.031467,             0.71956,             0.35225,             0.37668,              0.1501,            0.055474,            0.058906,            0.026259,            0.003197,            0.003197,            0.003197
                   7,             0.05527,            0.060033,            0.028184,             0.74225,             0.36795,             0.42584,             0.18723,            0.053593,            0.059793,            0.023233,           0.0031956,           0.0031956,           0.0031956
                   8,            0.054837,            0.060151,            0.026572,             0.77614,             0.38987,             0.46497,             0.23055,            0.048203,            0.059728,            0.021833,            0.003194,            0.003194,            0.003194
                   9,            0.053274,            0.059369,            0.025035,             0.79558,             0.37611,             0.46236,             0.21332,            0.050828,            0.058675,            0.020387,           0.0031922,           0.0031922,           0.0031922
                  10,            0.052665,            0.060757,            0.024021,             0.79759,             0.40105,             0.50641,             0.24298,            0.048711,            0.058592,            0.019973,           0.0031901,           0.0031901,           0.0031901
                  11,            0.052073,            0.058689,            0.023136,             0.79457,             0.41005,              0.5137,             0.24084,            0.048162,            0.058528,             0.01935,           0.0031878,           0.0031878,           0.0031878
                  12,            0.051797,            0.059702,            0.022667,             0.79891,             0.42351,             0.50223,             0.26049,            0.046392,            0.060982,            0.019065,           0.0031853,           0.0031853,           0.0031853
                  13,            0.050905,            0.058111,            0.022135,             0.82172,             0.39759,             0.50572,             0.26483,            0.046267,            0.058176,             0.01839,           0.0031825,           0.0031825,           0.0031825
                  14,            0.050633,            0.059115,            0.021109,              0.3945,             0.63476,             0.54367,             0.28669,            0.045816,            0.058032,            0.018475,           0.0031794,           0.0031794,           0.0031794
                  15,            0.050813,              0.0584,            0.020661,             0.66149,             0.48599,             0.51515,             0.24381,            0.048749,            0.057468,            0.016921,           0.0031761,           0.0031761,           0.0031761
                  16,            0.049803,            0.058678,            0.020496,             0.80653,             0.44562,             0.56011,             0.28815,              0.0463,             0.05747,            0.016499,           0.0031726,           0.0031726,           0.0031726
                  17,            0.050076,            0.058265,            0.020326,             0.73113,             0.48023,             0.53382,             0.29085,            0.045658,             0.05845,            0.016976,           0.0031688,           0.0031688,           0.0031688
                  18,            0.049549,            0.057559,            0.019851,             0.73612,             0.47965,             0.57106,             0.30937,            0.045192,            0.058327,            0.015948,           0.0031648,           0.0031648,           0.0031648
                  19,            0.049203,            0.056859,            0.019877,             0.69661,              0.4873,             0.55439,             0.27315,            0.048266,            0.057906,            0.015878,           0.0031606,           0.0031606,           0.0031606
                  20,            0.049246,            0.057641,             0.01951,             0.72022,             0.49206,             0.59817,             0.30536,            0.045362,            0.057194,            0.016086,           0.0031561,           0.0031561,           0.0031561
                  21,            0.048577,            0.057058,            0.019123,             0.44195,             0.62958,             0.56342,             0.27156,            0.048709,            0.058662,            0.015657,           0.0031514,           0.0031514,           0.0031514
                  22,            0.048228,            0.057869,             0.01871,             0.67049,              0.5148,             0.59719,             0.32993,            0.044697,            0.059034,            0.015577,           0.0031464,           0.0031464,           0.0031464
                  23,            0.049219,            0.058064,            0.018395,             0.55176,             0.58202,              0.6095,             0.33395,            0.045179,             0.05715,             0.01469,           0.0031412,           0.0031412,           0.0031412
                  24,             0.04783,            0.056569,            0.018453,             0.56143,             0.55461,             0.60104,             0.32332,            0.044709,            0.057262,            0.015099,           0.0031358,           0.0031358,           0.0031358
                  25,            0.048201,            0.056354,            0.018325,             0.52032,             0.62771,             0.61182,             0.33418,            0.044373,            0.057717,            0.015011,           0.0031301,           0.0031301,           0.0031301
                  26,            0.047945,            0.057404,             0.01797,             0.54996,             0.60531,             0.60838,              0.3417,            0.044494,            0.056967,            0.014817,           0.0031242,           0.0031242,           0.0031242
                  27,            0.047756,            0.056545,            0.017745,             0.52714,             0.62658,             0.60502,             0.33721,            0.043856,            0.056983,            0.014942,           0.0031181,           0.0031181,           0.0031181
                  28,            0.048247,            0.056081,            0.017634,             0.53584,             0.59417,             0.59073,             0.32192,            0.045059,             0.05777,            0.015521,           0.0031117,           0.0031117,           0.0031117
                  29,            0.047857,            0.056837,            0.017888,             0.54972,              0.6484,              0.6253,             0.34359,            0.044348,            0.058152,            0.014696,           0.0031051,           0.0031051,           0.0031051
                  30,            0.047619,            0.056636,              0.0176,             0.51101,             0.65245,             0.59679,             0.34144,            0.043516,            0.058199,            0.014409,           0.0030983,           0.0030983,           0.0030983
                  31,            0.047222,            0.056241,            0.016843,             0.57498,             0.63264,             0.63365,             0.35287,            0.043643,            0.057151,            0.014007,           0.0030912,           0.0030912,           0.0030912
                  32,            0.047243,            0.056918,            0.016732,             0.59471,             0.63051,             0.62982,             0.35784,            0.043498,            0.057912,            0.014215,            0.003084,            0.003084,            0.003084
                  33,             0.04658,            0.055949,            0.016369,             0.68514,             0.57468,             0.64941,             0.37049,            0.043511,            0.057044,            0.013605,           0.0030765,           0.0030765,           0.0030765
                  34,            0.047117,            0.055438,            0.016292,             0.63364,             0.61088,             0.62408,             0.33688,            0.044192,            0.056742,            0.013283,           0.0030687,           0.0030687,           0.0030687
                  35,            0.046836,            0.055939,             0.01664,             0.59841,             0.57816,             0.59672,             0.33355,            0.043548,            0.057376,            0.014223,           0.0030608,           0.0030608,           0.0030608
                  36,            0.046349,            0.056794,             0.01631,             0.64977,             0.59844,             0.63644,             0.35993,            0.043189,            0.056768,            0.013595,           0.0030526,           0.0030526,           0.0030526
                  37,            0.046609,             0.05617,            0.016232,             0.53117,             0.67499,             0.64226,             0.33677,            0.045193,            0.057544,            0.013419,           0.0030442,           0.0030442,           0.0030442
                  38,            0.046804,            0.055087,            0.015907,             0.56572,             0.66531,             0.62981,             0.34917,            0.043784,             0.05688,            0.013497,           0.0030356,           0.0030356,           0.0030356
                  39,             0.04659,            0.055041,            0.016075,              0.6718,             0.57422,             0.61559,             0.34535,            0.043163,            0.057529,            0.015364,           0.0030268,           0.0030268,           0.0030268
                  40,            0.046093,            0.056053,            0.015951,              0.5727,             0.67756,             0.63061,             0.35535,            0.043314,            0.057014,            0.013354,           0.0030178,           0.0030178,           0.0030178
                  41,            0.046323,            0.055018,             0.01567,             0.67602,             0.59295,             0.63864,             0.35718,            0.043358,            0.056233,              0.0129,           0.0030085,           0.0030085,           0.0030085
