               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086408,            0.057318,            0.053852,            0.063791,             0.33642,            0.097548,            0.033923,            0.084762,            0.048916,            0.041291,           0.0032727,           0.0032727,            0.070545
                   1,            0.072114,            0.049666,            0.039553,              0.4861,             0.21956,             0.10135,            0.026582,            0.088642,            0.047168,            0.034332,           0.0065843,           0.0065843,            0.040524
                   2,            0.065963,            0.045356,             0.03529,             0.65197,             0.25227,              0.2179,             0.08762,            0.069295,            0.037301,            0.027959,           0.0098738,           0.0098738,             0.01048
                   3,            0.057664,            0.046212,            0.030164,             0.77649,              0.3031,             0.36088,             0.17363,            0.051855,            0.040806,            0.029327,            0.009901,            0.009901,            0.009901
                   4,            0.049338,             0.04698,            0.027762,             0.77578,             0.43781,             0.48337,             0.22662,            0.049225,            0.038431,            0.024611,            0.009901,            0.009901,            0.009901
                   5,             0.04403,            0.045606,            0.023656,             0.78648,             0.45905,             0.52597,             0.27464,            0.040978,            0.038381,            0.020772,            0.009868,            0.009868,            0.009868
                   6,            0.041352,            0.045737,            0.020229,             0.76814,             0.53528,             0.57397,             0.30986,            0.039744,            0.037403,            0.018613,            0.009835,            0.009835,            0.009835
                   7,            0.039138,             0.04458,            0.019453,             0.78383,             0.51889,             0.58928,             0.32616,            0.034888,            0.037336,            0.017127,            0.009802,            0.009802,            0.009802
                   8,            0.037651,            0.044998,            0.017521,             0.78959,             0.51685,             0.59641,             0.32803,            0.037309,            0.036916,            0.017174,            0.009769,            0.009769,            0.009769
                   9,            0.038325,            0.043998,            0.017386,             0.68649,             0.59795,             0.61032,             0.34271,            0.034119,            0.036754,            0.017244,            0.009736,            0.009736,            0.009736
                  10,            0.036405,             0.04438,             0.01613,             0.71962,             0.61678,             0.64458,              0.3694,            0.033004,            0.036529,            0.015837,            0.009703,            0.009703,            0.009703
                  11,            0.036429,            0.043765,            0.016705,              0.7193,             0.50645,             0.55249,             0.29988,            0.038827,            0.042408,             0.01839,             0.00967,             0.00967,             0.00967
                  12,            0.034941,            0.043619,            0.015677,             0.70956,             0.57748,             0.60944,             0.34554,            0.036134,            0.038709,            0.016885,            0.009637,            0.009637,            0.009637
                  13,            0.034467,            0.043595,            0.013968,             0.73891,              0.6152,              0.6591,             0.37545,            0.033414,             0.03595,            0.014122,            0.009604,            0.009604,            0.009604
                  14,             0.03417,            0.042619,            0.013786,             0.75164,             0.63221,             0.67934,             0.40037,            0.030268,            0.035545,            0.013099,            0.009571,            0.009571,            0.009571
                  15,             0.03431,            0.042364,            0.013196,             0.74035,             0.60075,             0.64245,             0.37791,            0.033879,            0.038405,            0.014703,            0.009538,            0.009538,            0.009538
                  16,             0.03331,            0.042941,            0.014445,             0.76238,             0.60641,             0.65874,             0.38419,            0.032141,            0.037415,            0.013453,            0.009505,            0.009505,            0.009505
                  17,            0.033575,            0.042971,            0.014022,             0.72773,             0.63102,             0.66825,             0.39511,            0.031771,            0.036654,            0.013785,            0.009472,            0.009472,            0.009472
                  18,            0.032775,            0.041946,            0.013207,             0.73427,             0.59851,             0.64961,             0.38733,            0.032134,            0.037213,            0.013053,            0.009439,            0.009439,            0.009439
                  19,            0.032928,            0.042585,             0.01359,             0.76692,             0.62732,             0.69638,             0.40973,             0.03384,            0.036786,             0.01295,            0.009406,            0.009406,            0.009406
                  20,            0.031976,            0.042183,            0.012604,             0.72303,             0.66539,             0.70223,             0.41619,            0.030342,            0.036427,            0.012332,            0.009373,            0.009373,            0.009373
                  21,            0.032471,            0.042142,            0.011727,              0.6732,             0.64845,             0.67965,             0.39813,            0.031868,            0.037368,            0.013491,             0.00934,             0.00934,             0.00934
                  22,            0.031561,            0.041841,            0.012034,             0.65212,             0.71371,             0.71615,             0.43108,            0.030603,            0.035903,            0.011358,            0.009307,            0.009307,            0.009307
                  23,            0.031102,            0.041864,            0.011006,             0.68262,             0.70707,             0.71985,             0.42907,            0.028752,             0.03586,            0.011635,            0.009274,            0.009274,            0.009274
                  24,            0.030332,             0.04147,            0.010609,             0.68564,             0.70496,             0.72004,             0.42793,            0.028867,            0.035552,            0.011908,            0.009241,            0.009241,            0.009241
                  25,            0.030703,            0.040988,           0.0094788,              0.6945,             0.68939,             0.71348,             0.43098,             0.02929,            0.035353,            0.011443,            0.009208,            0.009208,            0.009208
                  26,            0.030324,            0.040985,            0.010512,             0.70008,               0.699,             0.71922,             0.42736,            0.030013,              0.0365,             0.01353,            0.009175,            0.009175,            0.009175
                  27,            0.030131,            0.040513,             0.01028,             0.70515,             0.64651,             0.69923,             0.41589,            0.029148,            0.036762,            0.012342,            0.009142,            0.009142,            0.009142
                  28,            0.030784,            0.040702,           0.0088173,             0.72513,             0.68225,             0.72633,             0.44082,            0.029986,              0.0356,            0.011209,            0.009109,            0.009109,            0.009109
                  29,            0.029654,            0.039732,           0.0095702,             0.70713,             0.69614,             0.72366,             0.43998,             0.02885,            0.036434,            0.012117,            0.009076,            0.009076,            0.009076
                  30,            0.028822,            0.039139,            0.008724,             0.71228,             0.68783,             0.72947,             0.43464,            0.029063,            0.036223,            0.011172,            0.009043,            0.009043,            0.009043
                  31,            0.029246,            0.039325,            0.009281,             0.72224,             0.67983,             0.71858,             0.43004,            0.030342,            0.035836,            0.011546,             0.00901,             0.00901,             0.00901
                  32,            0.029214,            0.039231,           0.0092704,             0.69235,             0.70688,             0.71816,              0.4335,            0.029165,            0.036256,            0.012769,            0.008977,            0.008977,            0.008977
                  33,            0.029689,            0.040413,            0.010038,             0.65997,             0.69532,             0.69997,             0.41941,            0.029086,            0.036633,            0.012433,            0.008944,            0.008944,            0.008944
                  34,             0.02935,            0.040257,           0.0098129,             0.70414,             0.67643,             0.69402,             0.41713,            0.030158,            0.037501,            0.012829,            0.008911,            0.008911,            0.008911
                  35,            0.029075,            0.040581,           0.0094008,             0.69083,             0.68688,             0.71475,             0.42903,            0.028508,             0.03615,            0.011456,            0.008878,            0.008878,            0.008878
                  36,            0.028971,            0.040366,           0.0092356,             0.70972,             0.65256,             0.68781,              0.4081,            0.028738,            0.036129,            0.012354,            0.008845,            0.008845,            0.008845
                  37,            0.028054,            0.039513,           0.0083358,             0.71101,              0.6898,             0.72279,             0.43852,            0.027883,            0.035773,            0.011174,            0.008812,            0.008812,            0.008812
                  38,            0.028733,              0.0388,           0.0078706,             0.72507,             0.67968,             0.72776,             0.44534,            0.027486,            0.035852,           0.0098766,            0.008779,            0.008779,            0.008779
                  39,            0.029469,            0.039361,           0.0079784,              0.7117,             0.69027,             0.71437,             0.43207,            0.028796,            0.036042,            0.011494,            0.008746,            0.008746,            0.008746
                  40,            0.027969,            0.038867,           0.0079655,             0.71729,             0.69628,             0.71737,             0.43729,            0.027925,            0.036269,            0.010667,            0.008713,            0.008713,            0.008713
                  41,            0.029198,            0.039314,           0.0074164,             0.67759,             0.69882,             0.71075,             0.43096,            0.028426,            0.036308,            0.011592,             0.00868,             0.00868,             0.00868
                  42,            0.027678,            0.038285,           0.0078993,             0.69089,             0.69696,             0.71146,             0.43357,            0.027871,            0.036615,             0.01081,            0.008647,            0.008647,            0.008647
                  43,            0.027553,            0.038949,           0.0083728,             0.71448,             0.69706,             0.72187,             0.44135,            0.027487,             0.03586,             0.01125,            0.008614,            0.008614,            0.008614
                  44,            0.027834,            0.039007,           0.0078672,             0.72383,             0.67823,             0.72498,             0.44806,            0.027411,            0.036495,            0.010488,            0.008581,            0.008581,            0.008581
                  45,             0.02877,            0.038406,           0.0076879,             0.68898,             0.67415,             0.71499,              0.4232,            0.028892,             0.03686,            0.012265,            0.008548,            0.008548,            0.008548
                  46,            0.027961,             0.03869,           0.0095374,             0.68826,             0.68484,             0.71028,             0.43555,            0.027898,            0.037118,            0.012397,            0.008515,            0.008515,            0.008515
                  47,            0.027108,            0.038547,           0.0075911,             0.67496,             0.69639,              0.7086,             0.43302,            0.027986,            0.036354,            0.011608,            0.008482,            0.008482,            0.008482
                  48,            0.026942,            0.037274,           0.0076286,             0.69923,              0.6642,             0.70359,             0.43295,            0.027242,            0.038157,            0.011109,            0.008449,            0.008449,            0.008449
                  49,            0.028223,            0.037985,           0.0070006,             0.72217,             0.70226,             0.73345,             0.44766,            0.028518,            0.036096,            0.010562,            0.008416,            0.008416,            0.008416
                  50,            0.028231,            0.037714,           0.0074063,             0.71109,             0.68673,               0.721,             0.43691,            0.029225,            0.036822,             0.01109,            0.008383,            0.008383,            0.008383
                  51,            0.026824,            0.037117,           0.0062901,             0.71689,             0.69097,             0.72087,             0.43906,            0.026608,            0.036158,            0.010756,             0.00835,             0.00835,             0.00835
                  52,            0.026791,            0.037232,           0.0068143,             0.72847,             0.69771,              0.7227,             0.44249,            0.027054,              0.0363,            0.010936,            0.008317,            0.008317,            0.008317
                  53,            0.026394,            0.037417,           0.0079614,             0.71234,             0.70443,             0.72233,             0.43954,            0.027183,            0.036767,            0.010708,            0.008284,            0.008284,            0.008284
                  54,            0.027499,            0.037275,           0.0065067,             0.72632,             0.67482,             0.71384,             0.43847,            0.030399,            0.037057,            0.011412,            0.008251,            0.008251,            0.008251
                  55,            0.028206,            0.037527,           0.0067639,             0.70254,             0.70309,             0.71844,             0.43659,            0.027461,            0.036736,            0.011355,            0.008218,            0.008218,            0.008218
                  56,            0.026552,            0.037294,           0.0065229,             0.68513,             0.70105,             0.71533,              0.4375,             0.02723,            0.036718,             0.01068,            0.008185,            0.008185,            0.008185
                  57,            0.026929,            0.036296,           0.0063625,             0.74587,             0.67521,             0.73747,             0.45221,            0.027537,            0.036344,           0.0096134,            0.008152,            0.008152,            0.008152
                  58,            0.026525,            0.037295,           0.0060858,             0.70893,             0.71072,             0.73447,             0.45482,             0.02757,            0.036085,           0.0096239,            0.008119,            0.008119,            0.008119
                  59,            0.026968,            0.036501,           0.0059488,             0.76238,             0.66873,             0.73118,             0.45179,            0.026742,            0.036555,           0.0097115,            0.008086,            0.008086,            0.008086
                  60,            0.026177,            0.035755,           0.0058525,             0.72861,             0.69764,             0.72754,              0.4469,            0.027364,            0.037427,            0.010014,            0.008053,            0.008053,            0.008053
                  61,            0.026242,            0.036505,           0.0056355,             0.70886,             0.69598,             0.71415,             0.43915,            0.027644,             0.03763,            0.010322,             0.00802,             0.00802,             0.00802
                  62,            0.025464,            0.035286,           0.0055239,             0.72263,             0.67592,             0.71513,              0.4381,            0.026224,            0.037492,            0.010203,            0.007987,            0.007987,            0.007987
