               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079495,            0.077498,            0.052087,             0.11174,             0.31498,             0.13962,            0.058085,            0.061952,            0.063428,            0.037822,            0.003303,            0.003303,            0.070273
                   1,            0.061257,            0.061307,            0.034759,              0.6674,             0.28343,             0.25046,              0.1058,             0.05746,            0.054596,            0.029028,           0.0066145,           0.0066145,            0.040251
                   2,            0.055917,            0.058846,            0.028647,             0.69611,             0.29937,             0.30524,             0.13353,            0.052383,             0.06089,            0.026478,           0.0099039,           0.0099039,            0.010207
                   3,             0.04899,            0.060249,            0.025075,             0.66064,             0.49007,             0.47991,             0.22823,            0.044236,            0.056521,            0.019413,            0.009901,            0.009901,            0.009901
                   4,            0.042212,            0.059509,            0.020226,             0.77035,             0.55289,             0.57867,             0.28642,            0.038161,             0.05686,            0.017411,            0.009901,            0.009901,            0.009901
                   5,            0.038198,            0.058335,             0.01772,             0.78401,              0.5348,             0.59678,             0.32128,            0.035683,            0.056252,            0.016041,            0.009868,            0.009868,            0.009868
                   6,            0.036534,             0.05793,            0.015995,             0.67341,             0.55949,             0.61128,             0.31315,            0.036253,            0.055217,            0.015871,            0.009835,            0.009835,            0.009835
                   7,            0.034434,            0.056835,            0.014339,              0.6585,             0.64732,             0.64154,             0.36179,            0.032518,            0.055507,            0.013301,            0.009802,            0.009802,            0.009802
                   8,            0.033902,            0.057244,            0.012876,             0.76665,             0.64053,             0.68707,             0.38041,            0.033012,            0.056019,            0.012839,            0.009769,            0.009769,            0.009769
                   9,            0.032685,            0.055755,            0.012362,             0.74428,             0.61689,             0.65546,              0.3736,             0.03247,            0.057563,            0.013544,            0.009736,            0.009736,            0.009736
                  10,            0.033007,            0.056083,            0.011072,             0.79277,             0.65639,             0.72591,              0.4274,            0.031025,            0.055578,            0.010941,            0.009703,            0.009703,            0.009703
                  11,             0.03237,            0.054688,            0.011048,              0.7572,             0.67732,             0.71779,             0.41041,            0.031165,            0.055947,            0.011098,             0.00967,             0.00967,             0.00967
                  12,            0.031552,            0.054167,            0.010669,             0.75001,             0.67795,             0.71644,             0.42736,             0.02899,            0.055732,            0.011224,            0.009637,            0.009637,            0.009637
                  13,            0.030589,            0.055225,           0.0097083,             0.77878,             0.66904,              0.7248,             0.43162,            0.031182,            0.056423,            0.011396,            0.009604,            0.009604,            0.009604
                  14,            0.031487,            0.054212,           0.0099697,             0.68267,             0.74276,             0.74039,             0.44456,            0.029851,            0.055543,            0.010581,            0.009571,            0.009571,            0.009571
                  15,            0.029744,            0.052895,           0.0086947,             0.70825,             0.71616,             0.73752,             0.44405,            0.028971,            0.055524,            0.010317,            0.009538,            0.009538,            0.009538
                  16,            0.030476,             0.05359,           0.0089546,             0.72469,             0.72407,             0.75323,             0.45733,            0.029896,            0.055198,           0.0098635,            0.009505,            0.009505,            0.009505
                  17,            0.029637,             0.05291,           0.0088261,             0.70869,             0.71948,             0.74328,             0.45485,            0.028489,            0.055052,            0.010283,            0.009472,            0.009472,            0.009472
