               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087608,             0.08397,             0.05594,             0.28721,             0.15861,            0.043767,            0.012318,            0.067959,            0.063917,            0.046055,            0.003303,            0.003303,            0.070273
                   1,             0.06602,            0.069356,            0.044002,             0.42187,             0.23294,            0.086879,            0.028621,            0.063442,            0.065556,            0.039128,           0.0065926,           0.0065926,            0.040229
                   2,            0.059501,            0.067797,            0.038801,             0.48998,             0.29339,             0.17626,            0.064065,            0.058877,             0.05865,            0.034897,           0.0098381,           0.0098381,            0.010141
                   3,            0.051468,            0.068491,            0.034868,             0.61314,             0.35717,             0.32197,             0.13511,             0.04247,            0.060996,            0.030995,            0.009802,            0.009802,            0.009802
                   4,            0.043991,            0.068677,            0.030581,             0.67422,             0.33796,             0.38115,             0.18049,            0.039887,            0.059927,            0.027101,            0.009802,            0.009802,            0.009802
                   5,            0.040774,            0.065697,            0.027818,             0.68092,             0.34911,             0.40521,             0.20096,            0.039495,            0.059734,             0.02484,            0.009736,            0.009736,            0.009736
                   6,            0.039276,            0.066125,            0.026296,             0.70836,              0.4118,             0.45213,             0.23399,            0.033408,            0.062463,            0.022877,             0.00967,             0.00967,             0.00967
                   7,            0.037128,            0.066407,            0.023849,             0.77397,             0.44849,             0.49466,             0.25473,            0.034666,            0.059153,            0.020542,            0.009604,            0.009604,            0.009604
                   8,             0.03738,             0.06526,            0.021819,              0.7887,             0.45968,             0.50291,             0.28018,            0.033174,            0.059362,            0.019218,            0.009538,            0.009538,            0.009538
                   9,            0.036083,            0.065096,            0.020647,             0.80119,             0.45803,             0.50956,             0.27261,            0.033247,            0.059062,            0.017969,            0.009472,            0.009472,            0.009472
                  10,            0.036064,            0.065837,             0.01843,             0.80025,             0.48169,             0.53088,             0.29193,            0.033633,            0.058828,            0.016729,            0.009406,            0.009406,            0.009406
                  11,             0.03527,            0.064635,             0.01751,             0.58958,              0.5755,             0.56636,             0.32451,            0.031207,            0.059222,            0.015864,             0.00934,             0.00934,             0.00934
                  12,            0.034562,            0.064938,            0.016618,             0.61652,             0.57196,             0.57944,             0.30728,            0.033947,            0.058183,            0.015301,            0.009274,            0.009274,            0.009274
                  13,            0.034131,            0.063213,             0.01606,             0.67827,             0.57423,             0.58484,             0.32406,            0.032242,            0.058497,            0.015246,            0.009208,            0.009208,            0.009208
                  14,            0.034123,            0.063822,            0.015768,             0.69272,             0.58434,             0.61029,             0.35735,            0.030103,            0.057986,            0.014369,            0.009142,            0.009142,            0.009142
                  15,            0.032873,            0.062192,            0.015637,             0.66514,             0.59846,              0.6096,             0.34349,            0.031224,            0.058085,            0.014022,            0.009076,            0.009076,            0.009076
                  16,            0.032941,            0.063029,            0.014473,             0.71545,             0.58476,             0.62297,             0.34658,             0.03085,            0.058477,             0.01355,             0.00901,             0.00901,             0.00901
                  17,              0.0326,            0.062561,            0.014134,             0.73632,             0.58476,             0.63477,             0.36612,            0.031013,            0.058535,            0.013085,            0.008944,            0.008944,            0.008944
                  18,            0.032621,             0.06251,            0.013477,             0.75157,             0.58542,             0.64258,             0.36588,            0.031134,            0.058922,            0.012808,            0.008878,            0.008878,            0.008878
                  19,            0.032052,             0.06253,            0.013383,             0.77009,             0.58623,             0.65718,             0.37979,             0.03087,            0.058148,            0.012536,            0.008812,            0.008812,            0.008812
                  20,             0.03262,            0.062592,            0.012708,             0.66295,               0.645,             0.66602,             0.38328,            0.029991,            0.058021,            0.012244,            0.008746,            0.008746,            0.008746
