               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089488,            0.083336,            0.056768,             0.61058,             0.16088,            0.074196,            0.025099,            0.074492,            0.079124,            0.046333,           0.0032727,           0.0032727,            0.070545
                   1,            0.069836,            0.068657,            0.044999,             0.43091,             0.18847,            0.088653,            0.028524,            0.074934,            0.062952,             0.04004,           0.0065843,           0.0065843,            0.040524
                   2,            0.061991,            0.068771,            0.039062,             0.47517,             0.36917,             0.20172,            0.073919,            0.054445,            0.076213,            0.035769,           0.0098738,           0.0098738,             0.01048
                   3,             0.05129,            0.067056,            0.035009,              0.5507,             0.34059,             0.26907,             0.10569,            0.048093,            0.061484,            0.032621,            0.009901,            0.009901,            0.009901
                   4,            0.043665,            0.067443,            0.030818,             0.64131,             0.37067,             0.37021,             0.17051,            0.038042,            0.061988,             0.02787,            0.009901,            0.009901,            0.009901
                   5,            0.040139,            0.068249,            0.027268,              0.6515,             0.37147,             0.38262,             0.18755,            0.039795,            0.061109,            0.025235,            0.009868,            0.009868,            0.009868
                   6,            0.038199,            0.066722,            0.025465,             0.73981,             0.43362,             0.46896,             0.25774,            0.033455,            0.059804,            0.022443,            0.009835,            0.009835,            0.009835
                   7,            0.037706,            0.066349,             0.02306,             0.77228,             0.45105,             0.48304,             0.25465,             0.03367,            0.059828,            0.021152,            0.009802,            0.009802,            0.009802
                   8,            0.037744,             0.06504,            0.021376,             0.80595,             0.45054,             0.50849,             0.27744,            0.032988,            0.059756,            0.019423,            0.009769,            0.009769,            0.009769
                   9,            0.036457,            0.065402,            0.019871,             0.82067,             0.45001,             0.50653,             0.27522,            0.034225,            0.060608,            0.019041,            0.009736,            0.009736,            0.009736
                  10,             0.03549,            0.064374,            0.018235,              0.8157,             0.47904,             0.53959,             0.29187,            0.032992,            0.059099,            0.016623,            0.009703,            0.009703,            0.009703
                  11,            0.035013,            0.063461,            0.016979,             0.81557,             0.48833,             0.54731,             0.30973,            0.032084,             0.05947,            0.015769,             0.00967,             0.00967,             0.00967
                  12,            0.034747,            0.064031,            0.016533,             0.81303,             0.49213,             0.56314,             0.31458,             0.03131,            0.060704,            0.015165,            0.009637,            0.009637,            0.009637
                  13,            0.033832,            0.062965,            0.015761,             0.64732,               0.564,             0.56933,             0.29158,            0.033453,            0.059896,            0.015982,            0.009604,            0.009604,            0.009604
                  14,            0.033715,            0.062651,            0.015181,             0.66022,             0.58835,             0.59169,              0.3315,            0.031801,             0.05847,            0.014345,            0.009571,            0.009571,            0.009571
                  15,            0.033719,            0.063651,            0.015079,             0.65359,             0.58827,             0.59694,             0.34826,            0.030852,             0.06026,            0.014123,            0.009538,            0.009538,            0.009538
                  16,            0.032869,            0.061658,            0.014552,             0.71992,             0.58386,             0.62571,             0.35866,            0.030987,            0.059096,            0.014332,            0.009505,            0.009505,            0.009505
                  17,            0.032587,            0.063674,            0.013296,               0.645,              0.6423,             0.64441,             0.36708,            0.032025,            0.059789,            0.013084,            0.009472,            0.009472,            0.009472
                  18,            0.032693,            0.061635,             0.01271,             0.74811,             0.58064,             0.63766,             0.35267,            0.031929,            0.058736,            0.013042,            0.009439,            0.009439,            0.009439
