               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081774,            0.060235,            0.048722,             0.48027,             0.38148,             0.20279,            0.077101,            0.067195,            0.041678,            0.034156,            0.003303,            0.003303,            0.070273
                   1,            0.069884,            0.046635,            0.033753,             0.68424,              0.2983,             0.27098,             0.11312,            0.058668,            0.036391,             0.02795,           0.0066035,           0.0066035,             0.04024
                   2,            0.062669,            0.045987,            0.029826,             0.70536,             0.34081,             0.34683,             0.15827,            0.059472,            0.036905,            0.023318,            0.009871,            0.009871,            0.010174
                   3,            0.055137,            0.044885,             0.02542,             0.63646,             0.53187,             0.48646,             0.24791,            0.047782,            0.036463,            0.020882,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049139,            0.045312,            0.022359,              0.6961,             0.46666,             0.49366,             0.24571,            0.044951,            0.039111,            0.024437,           0.0098515,           0.0098515,           0.0098515
                   5,            0.046142,            0.045831,            0.021691,             0.74408,              0.4956,             0.55779,             0.28096,            0.048578,            0.039043,            0.019696,            0.009802,            0.009802,            0.009802
                   6,             0.04358,            0.045391,            0.020959,             0.75319,             0.53556,             0.60766,             0.32618,            0.038172,            0.037425,            0.018383,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04212,            0.048265,            0.022864,             0.58143,             0.47176,              0.4589,             0.23483,            0.044298,            0.044228,            0.024497,            0.009703,            0.009703,            0.009703
                   8,            0.043007,            0.053763,             0.02605,             0.36058,           0.0067611,           0.0032424,           0.0016956,             0.14116,             0.11226,              1.4351,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043526,            0.054817,            0.027529,             0.58343,              0.4383,             0.42953,             0.22566,            0.042185,            0.044279,            0.025403,            0.009604,            0.009604,            0.009604
                  10,            0.041564,            0.053641,             0.02361,              0.6525,             0.47679,             0.50135,             0.27907,            0.039336,            0.043356,            0.021418,           0.0095545,           0.0095545,           0.0095545
                  11,            0.040665,            0.052962,            0.023181,             0.50677,             0.32137,             0.29561,             0.15535,            0.051307,            0.056115,            0.037741,            0.009505,            0.009505,            0.009505
                  12,            0.040519,            0.051781,            0.020411,             0.69971,             0.52533,             0.57945,             0.30938,            0.037426,            0.040829,            0.018666,           0.0094555,           0.0094555,           0.0094555
                  13,            0.039034,            0.047973,            0.019591,             0.70778,             0.55174,             0.58771,             0.32846,            0.038231,            0.040027,            0.017206,            0.009406,            0.009406,            0.009406
                  14,            0.037404,            0.048997,            0.018403,              0.7155,             0.58103,             0.61375,             0.34923,             0.03643,            0.039049,            0.016866,           0.0093565,           0.0093565,           0.0093565
                  15,            0.035556,            0.048038,            0.017553,             0.70167,             0.56756,             0.60886,             0.35248,            0.033028,            0.038622,            0.016636,            0.009307,            0.009307,            0.009307
                  16,            0.037074,            0.047641,            0.016698,             0.71912,             0.58592,             0.62908,              0.3534,            0.032453,            0.038166,             0.01468,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035651,            0.049841,            0.018474,             0.35437,            0.047793,            0.052719,            0.027693,            0.086013,            0.075509,            0.059763,            0.009208,            0.009208,            0.009208
                  18,            0.036812,            0.051956,            0.021168,             0.47363,              0.1063,             0.11236,            0.060157,            0.071503,            0.073858,            0.052265,           0.0091585,           0.0091585,           0.0091585
                  19,            0.036756,            0.051459,            0.019525,             0.67673,             0.51689,              0.5377,             0.29353,            0.038786,            0.042554,            0.019995,            0.009109,            0.009109,            0.009109
                  20,            0.035432,            0.048469,            0.016564,             0.71293,             0.52999,             0.58076,             0.33162,            0.033425,            0.039967,             0.01722,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03486,            0.048052,            0.016853,             0.62886,             0.43368,             0.43892,             0.25009,            0.038257,            0.047315,            0.024569,             0.00901,             0.00901,             0.00901
                  22,            0.034063,            0.047207,             0.01673,             0.71739,             0.58266,             0.63553,             0.37108,            0.030901,            0.038081,            0.015128,           0.0089605,           0.0089605,           0.0089605
                  23,            0.033356,            0.046273,            0.016329,              0.7012,              0.6164,             0.65073,             0.37979,            0.030784,            0.037142,            0.014134,            0.008911,            0.008911,            0.008911
                  24,            0.033078,             0.04551,            0.015269,             0.75631,             0.58661,              0.6465,             0.38183,            0.029142,            0.037329,            0.013079,           0.0088615,           0.0088615,           0.0088615
                  25,            0.032219,            0.045624,            0.014131,             0.72748,             0.62226,             0.66925,             0.40074,            0.029167,            0.036617,            0.013468,            0.008812,            0.008812,            0.008812
                  26,            0.032039,             0.04469,            0.013707,             0.75594,             0.60739,             0.66997,             0.40171,            0.028819,            0.036671,            0.012488,           0.0087625,           0.0087625,           0.0087625
                  27,            0.031307,            0.043556,            0.012168,             0.73928,             0.63617,             0.67336,             0.39885,            0.029514,            0.036583,            0.011948,            0.008713,            0.008713,            0.008713
                  28,            0.031749,             0.04424,            0.012904,             0.70659,             0.57441,             0.61484,             0.36245,            0.031373,            0.039024,            0.014283,           0.0086635,           0.0086635,           0.0086635
                  29,            0.031445,            0.044806,            0.012995,             0.73964,             0.62826,             0.67469,             0.39968,            0.028908,            0.036431,            0.012972,            0.008614,            0.008614,            0.008614
                  30,            0.031239,            0.044011,            0.013304,             0.75793,              0.6214,             0.68261,              0.4107,            0.028644,            0.036399,             0.01162,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03073,            0.043896,            0.011656,             0.76044,              0.6318,             0.68893,             0.41512,            0.030418,            0.035845,            0.010917,            0.008515,            0.008515,            0.008515
                  32,            0.031063,            0.042481,            0.011971,               0.762,             0.63665,             0.70205,             0.42641,            0.027932,            0.035859,            0.012206,           0.0084655,           0.0084655,           0.0084655
                  33,            0.030977,            0.042435,            0.011902,              0.6614,              0.4839,             0.51245,             0.28586,            0.039128,            0.043615,            0.023316,            0.008416,            0.008416,            0.008416
                  34,            0.030664,             0.04353,            0.011979,             0.74187,             0.64086,             0.68799,             0.40572,            0.028338,            0.036451,            0.011687,           0.0083665,           0.0083665,           0.0083665
                  35,            0.030275,            0.043336,            0.011715,             0.77147,             0.63078,             0.70133,             0.42557,            0.028021,            0.036275,            0.010726,            0.008317,            0.008317,            0.008317
                  36,             0.02954,            0.041818,            0.010754,             0.74601,             0.65077,             0.70925,             0.42954,            0.028292,            0.036247,            0.010428,           0.0082675,           0.0082675,           0.0082675
                  37,              0.0296,            0.042042,            0.011027,             0.69826,             0.66517,             0.70651,             0.42906,            0.027676,            0.036185,             0.01061,            0.008218,            0.008218,            0.008218
